query,vol,kd,kd_source,priority,score,pillar,role,compliance,ai_overview,serp_verdict,coverage_status,primary_article_slug,sources
bilirubin levels,8100,41,dfs,3,4,H,spoke,,,,,,backlog
mean cell hemoglobin,8100,18,dfs,3,6,,spoke,,Y,CONTESTED,,,backlog
why am i extremely exhausted,8100,43,dfs,3,4,pillar-B,spoke,medium,,,,,csv
chronic fatigue and exhaustion,8100,,dfs,3,4,pillar-B,spoke,medium,Y,MIXED,,,csv
why do i feel tired all the time,8100,24,dfs,3,5,pillar-B,spoke,medium,Y,CONTESTED,published,pillar-B-hub-why-am-i-always-tired,csv
why am i so tired,8100,43,dfs,3,4,pillar-B,spoke,medium,,,published,pillar-B-hub-why-am-i-always-tired,csv
full blood count,8100,26,dfs,3,5,pillar-D,spoke,low,,,,,csv
psa blood test,8100,48,dfs,3,4,future-kit-prostate,commercial,very-high,,,,,csv
thyroid test,6600,10,dfs,3,6,pillar-J,commercial,medium,n,CONTESTED,briefed,pillar-J-hub-thyroid-test,csv
cortisol test,6600,12,dfs,3,6,cortisol,commercial,,Y,CONTESTED,,,backlog
mean cell hemoglobin concentration,6600,7,dfs,3,6,,spoke,,Y,CONTESTED,,,backlog
mean corpuscular hemoglobin concentration,6600,18,dfs,3,4,,spoke,,n,CONTESTED,,,backlog
14 signs of vitamin d deficiency,6600,9,dfs,3,6,pillar-A,spoke,medium,n,MIXED,published,pillar-A-spoke-14-signs-of-vitamin-d-deficiency,csv
best vitamin d supplement,6600,2,dfs,3,6,pillar-A,spoke,medium,Y,CONTESTED,planned,,csv
how to boost testosterone,6600,26,dfs,3,4,pillar-C,spoke,gate,,,,,csv
how much crp level is dangerous,6600,10,dfs,3,6,pillar-D,spoke,low,,,published,,csv
ferritin saturation,6600,11,dfs,3,5,D,spoke,,,,,,discovery
how long do blood test results take,6600,0,dfs,3,6,,spoke,,,,,,discovery
bicarbonate,5400,8,dfs,3,6,,spoke,,,,,,backlog
mean corpuscular concentration,5400,1,dfs,3,6,,spoke,,,,,,backlog
mean corpusc hb conc mchc,5400,0,dfs,3,6,D,spoke,,,,,,backlog
lab test hemoglobin,5400,15,dfs,3,6,,commercial,,,,,,backlog
lipid blood test,5400,26,dfs,3,5,pillar-I,commercial,low,,,,,csv
mean cell hemoglobin level,4400,11,dfs,3,5,,spoke,,,,,,backlog
na serum levels,4400,14,dfs,3,5,,spoke,,,,,,backlog
cholesterol uk levels,4400,19,dfs,3,5,I,spoke,,,,,,backlog
lab test alkaline phosphatase,4400,14,dfs,3,6,H,commercial,,,,,,backlog
ferritin normal value,4400,9,dfs,3,6,D,spoke,,,,,,discovery
ferritin range normal,4400,20,dfs,3,5,D,spoke,,,,,,discovery
ferritin level elevated,4400,9,dfs,3,6,D,spoke,,,,,,discovery
high ferritin level,4400,28,dfs,3,4,D,spoke,,,,,,discovery
ferritin normal levels,4400,13,dfs,3,5,D,spoke,,,,,,discovery
cholesterol profile test,4400,42,dfs,3,4,I,commercial,,,,,,discovery
brain fog symptom,4400,30,dfs,3,4,,spoke,,,,,,discovery
allergy screen blood test,3600,11,dfs,3,6,,commercial,,,,,,backlog
hormone tests,3600,0,dfs,3,6,,spoke,,,,,,backlog
creatinine on blood test,3600,41,dfs,3,4,,commercial,,,,,,backlog
free androgen index,3600,0,dfs,3,6,,spoke,,,,,,backlog
hct pcv high,3600,15,dfs,3,5,,spoke,,,,,,backlog
haematocrit pcv high,3600,9,dfs,3,6,D,spoke,,,,,,backlog
best time to take vitamin d,3600,19,dfs,3,5,pillar-A,spoke,medium,,,planned,,csv
b12 blood test,3600,12,dfs,3,6,pillar-D,commercial,low,,,,,csv
cholesterol blood test,3600,25,dfs,3,5,pillar-I,commercial,low,,,,,csv
how to improve ferritin levels,3600,4,dfs,3,6,D,spoke,,,,,,discovery
how to increase ferritin levels,3600,0,dfs,3,6,D,spoke,,,,,,discovery
how to boost ferritin levels,3600,23,dfs,3,4,D,spoke,,,,,,discovery
how to raise ferritin levels,3600,0,dfs,3,6,D,spoke,,,,,,discovery
how to increase ferritin,3600,10,dfs,3,6,D,spoke,,,,,,discovery
converter hba1c,3600,14,dfs,3,5,I,spoke,,,,,,discovery
blood work test results,3600,22,dfs,3,5,,commercial,,,,,,discovery
home blood testing,2900,0,dfs,3,6,,commercial,,n,CONTESTED,,,backlog
home blood tests,2900,0,dfs,3,6,,commercial,,n,CONTESTED,,,backlog
mpv blood test,2900,22,dfs,3,5,,commercial,,,,,,backlog
home blood analysis,2900,7,dfs,3,6,,spoke,,,,,,backlog
cortisol blood test,2900,14,dfs,3,6,future-kit-cortisol,commercial,low,,,,,backlog+backlog+csv
natural glp 1,2900,14,dfs,3,5,,spoke,,,,,,backlog
amrap,2900,10,dfs,3,6,,spoke,,,,,,backlog
best vitamin d supplement uk,2900,6,dfs,3,6,A,spoke,,,,,,backlog
bmi winterbourne hospital,2900,0,dfs,3,6,,spoke,,,,,,backlog
symptoms of hormonal imbalance,2900,24,dfs,3,4,,spoke,,,,,,backlog
cholesterol test at home,2900,0,dfs,3,6,pillar-I,spoke,low,,,,,backlog+csv
healthy cholesterol range uk,2900,27,dfs,3,4,I,spoke,,,,,,backlog
normal cholesterol range uk,2900,19,dfs,3,5,I,spoke,,,,,,backlog
mpv fl blood test,2900,22,dfs,3,5,,commercial,,,,,,backlog
mpv lab test,2900,22,dfs,3,5,,commercial,,,,,,backlog
blood report mpv,2900,22,dfs,3,4,,spoke,,,,,,backlog
male hair thinning,2900,4,dfs,3,6,programmatic-symptoms,spoke,medium,,,,,csv
inflammatory markers,2900,27,dfs,3,4,pillar-G,spoke,medium,,,planned,,csv
liver function test results,2900,18,dfs,3,6,pillar-H,commercial,medium,,,planned,,csv
vitamin a d e k deficiency,2900,21,dfs,3,4,,spoke,,,,,,discovery
ferritin supplement,2900,5,dfs,3,6,D,spoke,,,,,,discovery
high ferritin,2900,11,dfs,3,5,D,spoke,,,,,,discovery
ferritin elevated,2900,28,dfs,3,4,D,spoke,,,,,,discovery
ferritin elevation,2900,5,dfs,3,6,D,spoke,,,,,,discovery
what is tested in a full blood count,2900,10,dfs,3,6,D,spoke,,,,,,discovery
what are full blood count test,2900,22,dfs,3,4,D,spoke,,,,,,discovery
amrap meaning,2400,0,dfs,3,6,,spoke,,,,,,backlog
how to test testosterone levels,2400,6,dfs,3,6,C,spoke,gate,,,,,backlog
bilirubin normal value,2400,1,dfs,3,6,H,spoke,,,,,,backlog
bilirubin healthy range,2400,21,dfs,3,4,H,spoke,,,,,,backlog
transferrin saturation index,2400,0,dfs,3,6,,spoke,,,,,,backlog
what level of alkaline phosphatase is dangerous,2400,21,dfs,3,4,H,spoke,,,,,,backlog
na levels,2400,24,dfs,3,4,,spoke,,,,,,backlog
transferrin saturation low,2400,1,dfs,3,6,,spoke,,,,,,backlog
cholesterol screening kits,2400,0,dfs,3,6,I,spoke,,,,,,backlog
